Taxon Id	Common name	Scientific name	Lineage	Links
652961	CCHFV	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Crimean-Congo hemorrhagic fever orthonairovirus	
689403	HBoV1	Primate bocaparvovirus 1 (strain Human bocavirus 1 type 1)	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Bocaparvovirus, Primate bocaparvovirus 1	
694009	SARS-CoV	Severe acute respiratory syndrome coronavirus	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Sarbecovirus	https://en.wikipedia.org/wiki/SARS_coronavirus, https://www.who.int/ith/diseases/sars/en/
694067	HMPV	Human metapneumovirus (strain CAN97-83)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Pneumoviridae, Metapneumovirus, Human metapneumovirus	
766182		Torque teno virus 1 (isolate TA278)	Viruses, Anelloviridae, Alphatorquevirus, Torque teno virus 1	
766183		Torque teno mini virus 1 (isolate TLMV-CBD279)	Viruses, Anelloviridae, Betatorquevirus, Torque teno mini virus 1	
766184		Torque teno midi virus 1 (isolate MD1-073)	Viruses, Anelloviridae, Gammatorquevirus, Torque teno midi virus 1	
766194	DUGV	Dugbe virus (isolate ArD44313)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Dugbe virus	
796210		Bunyavirus La Crosse (isolate Human/United States/L78/1978)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, La Crosse orthobunyavirus, Bunyavirus La Crosse	
868565	HHV-8	Human herpesvirus 8 type P (isolate GK18)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Gammaherpesvirinae, Rhadinovirus, Human herpesvirus 8	
928302	HBV-C	Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Hepatitis B virus, hepatitis B virus genotype C	
928303		Hendra virus (isolate Horse/Autralia/Hendra/1994)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Henipavirus, Hendra henipavirus	
928314	YMTV	Yaba monkey tumor virus (strain VR587)	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Yatapoxvirus, Yaba monkey tumor virus	
992212	Severe fever with thrombocytopenia virus	SFTS phlebovirus (isolate SFTSV/Human/China/HB29/2010)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Bandavirus, Dabie bandavirus	
1554474	RoV-A2	Rosavirus A2 (isolate Human/Gambia/GA7403/2008)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Rosavirus, Rosavirus A, Rosavirus A2	
1554483	HCoSV-A	Cosavirus A (isolate Human/Pakistan/0553/-)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cosavirus, Cosavirus A, Human cosavirus A	
2697049	2019-nCoV	Severe acute respiratory syndrome coronavirus 2	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Sarbecovirus, Severe acute respiratory syndrome coronavirus	
2870365	EMCV	Encephalomyocarditis virus (strain Rueckert)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cardiovirus, Cardiovirus A	
